second,Angry,Fear,Happy,Sad,Surprise,Neutral
1,0,0,18,0,0,0
2,0,7,9,2,0,0
3,0,7,9,2,1,0
4,0,9,10,0,0,0
5,1,8,11,1,0,0
6,0,8,16,1,0,0
7,0,0,26,1,0,0
8,0,5,18,4,0,0
9,0,0,20,7,0,0
10,0,0,21,10,0,0
11,0,6,13,4,0,0
12,0,8,9,9,0,0
13,0,5,9,13,0,0
14,0,8,9,10,0,0
15,0,9,8,8,0,0
16,0,8,13,6,0,0
17,0,2,24,1,0,0
18,0,8,8,11,0,0
19,2,7,0,18,0,0
20,1,7,0,19,0,0
21,0,9,0,18,0,0
22,0,8,1,19,0,0
23,0,7,2,18,0,0
24,0,9,6,12,0,0
25,0,6,2,19,0,0
